Model_Type,Dataset,Mutable_Layers,Mutation_Level,Mutate_time,Number_of_Mutants,ParHAC_Threshold,Number_of_Clusters,Max_Cluster_Sz,Min_Cluster_Sz,Mean_Cluster_Sz,Cluster_time,Mutation_Score,MS_time,Total_time
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.658899307,759,0.45,534,156,1,1.421348315,6.861260176,0.685949962,480.0341592,811.3927097
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.657992601,759,0.45,532,150,1,1.426691729,6.915040493,0.710422812,475.8227987,809.1014071
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.651897907,759,0.45,526,163,1,1.442965779,6.458750963,0.711679231,484.0875514,805.5037506
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.671751022,759,0.45,538,159,1,1.410780669,6.830232859,0.508084781,476.7219038,808.1114416
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.654403687,759,0.45,532,166,1,1.426691729,6.420995951,0.702338031,471.8140461,812.2435973
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.668693542,759,0.5,595,78,1,1.275630252,6.801527739,0.669561892,550.3118329,821.2987065
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.653383732,759,0.5,594,80,1,1.277777778,6.825457096,0.668797116,541.9790933,810.32617
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.657394409,759,0.5,593,70,1,1.279932546,6.830135345,0.575330493,544.7387967,815.171617
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.644041538,759,0.5,592,87,1,1.282094595,6.509672403,0.681142795,536.3887625,801.2166305
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.672519684,759,0.5,578,105,1,1.313148789,6.774507761,0.56604392,548.1340058,808.0318334
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.649011612,759,0.5,585,88,1,1.297435897,6.346004963,0.569485415,559.6512883,798.627419
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.669662476,759,0.55,624,38,1,1.216346154,6.79942584,0.631596198,579.679383,817.5484412
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.675863266,759,0.55,648,12,1,1.171296296,6.744030476,0.616027532,603.6989579,816.9245291
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.656494141,759,0.55,647,8,1,1.173106646,6.757518291,0.618485742,597.2818892,809.3408031
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,2.528823137,759,0.55,653,4,1,1.162327718,6.310957432,0.626843658,602.7244782,2921.382357
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.666668653,759,0.55,643,10,1,1.180404355,6.828379154,0.630285152,606.4213204,807.3445292
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.649634838,759,0.55,649,4,1,1.169491525,6.476116419,0.617720966,607.2774715,799.7762098
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.675202131,759,0.6,659,2,1,1.151745068,6.721246958,0.624658582,616.4894502,817.9446075
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.672055721,759,0.6,672,4,1,1.129464286,6.71431756,0.623620671,625.102262,810.9046166
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.660126209,759,0.6,673,2,1,1.127786033,6.792615175,0.630667541,628.4637225,814.9525962
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.630243063,759,0.6,669,2,1,1.134529148,6.314062357,0.634600677,629.5143108,782.1195352
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.664862394,759,0.6,662,4,1,1.14652568,6.665857315,0.630667541,631.2052956,808.48645
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.666774511,759,0.6,665,4,1,1.141353383,6.41450429,0.624494701,630.8308463,820.834388
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.678104162,759,0.65,682,2,1,1.112903226,6.799046993,0.618048727,640.1534419,818.6323948
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.680222511,759,0.65,683,2,1,1.111273792,6.706830502,0.64142904,643.204886,820.4903338
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.66623807,759,0.65,687,2,1,1.104803493,6.611180067,0.634218289,643.8501647,814.946609
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.645067453,759,0.65,687,2,1,1.104803493,6.386906862,0.62962963,650.2793524,799.2889009
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.657032251,759,0.65,687,2,1,1.104803493,6.740662098,0.631760079,644.3138688,807.1967905
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.633187771,759,0.65,682,2,1,1.112903226,6.324480772,0.632415601,650.6670015,793.0458539
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.674725294,759,0.7,705,2,1,1.076595745,6.699320078,0.62979351,664.9353054,818.7873721
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.670826912,759,0.7,704,2,1,1.078125,6.537138939,0.636895007,661.7169352,814.3756714
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.677373648,759,0.7,707,2,1,1.073550212,6.77465868,0.627936196,667.6863599,817.3807242
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,1.257520676,759,0.7,704,2,1,1.078125,7.214275837,0.631323063,662.7740579,1475.979104
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.662744284,759,0.7,705,2,1,1.076595745,6.630228043,0.633890528,667.0914514,809.8236823
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.646974087,759,0.7,703,2,1,1.079658606,6.284825563,0.628700972,662.0457978,802.6218319
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.677451372,759,0.8,724,2,1,1.048342541,6.686449289,0.624276194,685.8776858,817.4567747
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.676888466,759,0.8,719,2,1,1.055632823,6.724959373,0.624767836,677.8592293,814.7798228
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.672709227,759,0.8,723,2,1,1.049792531,6.734813213,0.622965148,681.8446913,815.6488137
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,1.788067579,759,0.8,723,2,1,1.049792531,6.3578403,0.61712007,691.2933078,2046.670759
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.658713102,759,0.8,722,2,1,1.051246537,6.639235973,0.625860374,685.8309815,806.4901326
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.64035368,759,0.8,719,2,1,1.055632823,6.345901966,0.63137769,680.6399851,797.8907137
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.669328928,759,0.9,735,2,1,1.032653061,6.702370167,0.624549328,695.2888603,814.3496587
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.66754508,759,0.9,733,2,1,1.035470668,6.636778593,0.633890528,691.5466638,812.8765478
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.670306206,759,0.9,736,2,1,1.03125,6.660375357,0.623893805,697.56264,816.4812918
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.654003382,759,0.9,734,2,1,1.034059946,6.430562973,0.621763356,702.7002492,802.6568811
